Date,Open,High,Low,Close,Volume
12/1/2020,3188.5,3248.949951,3157.179932,3220.080078,4537000
12/2/2020,3221.649902,3232,3173.26001,3203.530029,3129300
12/3/2020,3205.459961,3228.639893,3181.310059,3186.72998,2892000
12/4/2020,3198.209961,3198.209961,3158.76001,3162.580078,2913600
12/7/2020,3156.47998,3180.76001,3141.689941,3158,2751300
12/8/2020,3158.899902,3184.129883,3120.02002,3177.290039,3286300
12/9/2020,3167.889893,3174.429932,3088,3104.199951,4100800
12/10/2020,3088.98999,3142.100098,3076,3101.48999,3030200
12/11/2020,3096.659912,3118.669922,3072.820068,3116.419922,3064700
12/14/2020,3143,3190.469971,3126,3156.969971,4155800
12/15/2020,3181.01001,3188.5,3130.48999,3165.120117,3319500
12/16/2020,3176.01001,3247,3163.679932,3240.959961,4427600
12/17/2020,3250,3263.51001,3221,3236.080078,3474300
12/18/2020,3243.98999,3249.419922,3171.600098,3201.649902,5995700
12/21/2020,3200.01001,3226.969971,3166,3206.179932,3836800
12/22/2020,3202.840088,3222,3180.080078,3206.52002,2369400
12/23/2020,3205,3210.129883,3184.169922,3185.27002,2093800
12/24/2020,3193.899902,3202,3169,3172.689941,1451900
12/28/2020,3194,3304,3172.689941,3283.959961,5686800
12/29/2020,3309.939941,3350.649902,3281.219971,3322,4872900
12/30/2020,3341,3342.100098,3282.469971,3285.850098,3209300
12/31/2020,3275,3282.919922,3241.199951,3256.929932,2957200
1/4/2021,3270,3272,3144.02002,3186.629883,4411400
1/5/2021,3166.01001,3223.379883,3165.060059,3218.51001,2655500
1/6/2021,3146.47998,3197.51001,3131.159912,3138.379883,4394800
1/7/2021,3157,3208.540039,3155,3162.159912,3514500
1/8/2021,3180,3190.639893,3142.199951,3182.699951,3537700
1/11/2021,3148.01001,3156.379883,3110,3114.209961,3683400
1/12/2021,3120,3142.139893,3086,3120.830078,3514600
1/13/2021,3128.439941,3189.949951,3122.080078,3165.889893,3321200
1/14/2021,3167.52002,3178,3120.590088,3127.469971,3070900
1/15/2021,3123.02002,3142.550049,3095.169922,3104.25,4244000
1/19/2021,3107,3145,3096,3120.76001,3305100
1/20/2021,3181.98999,3279.800049,3175,3263.379883,5309800
1/21/2021,3293,3348.550049,3289.570068,3306.98999,4936100
1/22/2021,3304.310059,3321.909912,3283.159912,3292.22998,2821900
1/25/2021,3328.5,3363.889893,3243.149902,3294,3749800
1/26/2021,3296.360107,3338,3282.870117,3326.129883,2955200
1/27/2021,3341.48999,3346.52002,3207.080078,3232.580078,4660200
1/28/2021,3235.040039,3301.679932,3228.689941,3237.620117,3149200
1/29/2021,3230,3236.98999,3184.550049,3206.199951,4293600
2/1/2021,3242.360107,3350.26001,3235.030029,3342.879883,4160200
2/2/2021,3380,3427.73999,3361.129883,3380,7098600
2/3/2021,3425.01001,3434,3308.620117,3312.530029,7088800
2/4/2021,3330,3347,3277.75,3331,3670700
2/5/2021,3319,3377,3302.709961,3352.149902,3620800
2/8/2021,3358.5,3365,3304,3322.939941,3257400
2/9/2021,3312.48999,3338,3297.840088,3305,2203500
2/10/2021,3314,3317.949951,3254,3286.580078,3151600
2/11/2021,3292,3292,3248.060059,3262.129883,2301400
2/12/2021,3250,3280.25,3233.310059,3277.709961,2335300
2/16/2021,3254.050049,3308.300049,3253.590088,3268.949951,2574700
2/17/2021,3263.600098,3320.909912,3259.5,3308.639893,3297500
2/18/2021,3282.419922,3338,3273.939941,3328.22998,3027400
2/19/2021,3328.22998,3333.5,3245.75,3249.899902,4305200
2/22/2021,3208.129883,3232.320068,3172.26001,3180.73999,3515700
2/23/2021,3127.030029,3204.72998,3093.600098,3194.5,4677200
2/24/2021,3166.75,3171.22998,3125.379883,3159.530029,3011300
2/25/2021,3136.73999,3178.26001,3047.76001,3057.159912,4533800
2/26/2021,3095.199951,3122.439941,3036.699951,3092.929932,4275900
3/1/2021,3127.889893,3149.560059,3097.98999,3146.139893,2729100
3/2/2021,3143.469971,3163.52002,3087.120117,3094.530029,2595800
3/3/2021,3081.179932,3107.780029,2995,3005,3988700
3/4/2021,3012,3058.129883,2945.429932,2977.570068,5481600
3/5/2021,3005,3009,2881,3000.459961,5388600
3/8/2021,3015,3064.590088,2951.310059,2951.949951,4185000
3/9/2021,3017.98999,3090.959961,3005.149902,3062.850098,4030000
3/10/2021,3098.449951,3116.459961,3030.050049,3057.639893,3012500
3/11/2021,3104.01001,3131.780029,3082.929932,3113.590088,2776400
3/12/2021,3075,3098.97998,3045.5,3089.48999,2421900
3/15/2021,3074.570068,3082.23999,3032.090088,3081.679932,2913600
3/16/2021,3104.969971,3128.909912,3075.860107,3091.860107,2538800
3/17/2021,3073.219971,3173.050049,3070.219971,3135.72998,3118600
3/18/2021,3101,3116.629883,3025,3027.98999,3649600
3/19/2021,3029.22998,3077.290039,3016.629883,3074.959961,4625400
3/22/2021,3067.850098,3126.580078,3060.050049,3110.870117,2902200
3/23/2021,3127,3182,3120.850098,3137.5,3817300
3/24/2021,3151.040039,3160.310059,3085.149902,3087.070068,2959000
3/25/2021,3072.98999,3109.780029,3037.139893,3046.26001,3563500
3/26/2021,3044.060059,3056.659912,2996,3052.030029,3312900
3/29/2021,3055.439941,3091.25,3028.449951,3075.72998,2746000
3/30/2021,3070.01001,3073,3034,3055.290039,2337600
3/31/2021,3064.060059,3119.330078,3062.5,3094.080078,3093900
4/1/2021,3117.939941,3162.439941,3115.550049,3161,2940300
4/5/2021,3173,3235.959961,3161.23999,3226.72998,3334900
4/6/2021,3223.75,3247.310059,3217.040039,3223.820068,2537800
4/7/2021,3233.800049,3303.610107,3223.649902,3279.389893,3346200
4/8/2021,3310.899902,3324.5,3292,3299.300049,2812100
4/9/2021,3304.699951,3372.199951,3288.899902,3372.199951,4341500
4/12/2021,3355.209961,3395.040039,3351.149902,3379.389893,3281800
4/13/2021,3400.850098,3432,3395.629883,3400,3315800
4/14/2021,3404.040039,3404.129883,3326,3333,3145200
4/15/2021,3371,3397,3352,3379.090088,3233600
4/16/2021,3380,3406.800049,3355.590088,3399.439941,3186000
